IMAGE, DETECTOR, DESCRIPTOR, MATCHER, SELECTOR, #KEYPOINTS, #DESCRIPTORS, #MATCHED KEYPOINTS, TTC CAMERA, TTC LIDAR, DETECTOR ELAPSED TIME, DESCRIPTOR ELAPSED TIME, MATCHER ELAPSED TIME
8, HARRIS, ORB, MAT_BF, SEL_KNN, 193, 704, 23, 13.5704, 13.1241, 14.4707, 1.36762, 0.113945
9, HARRIS, ORB, MAT_BF, SEL_KNN, 129, 544, 14, 3.18421, 13.0241, 13.1681, 1.33845, 0.099498
10, HARRIS, ORB, MAT_BF, SEL_KNN, 248, 928, 13, 3.18421, 11.1746, 16.7793, 1.93256, 0.086992
11, HARRIS, ORB, MAT_BF, SEL_KNN, 147, 608, 15, 3.18421, 12.8086, 13.4353, 1.37139, 0.11109
12, HARRIS, ORB, MAT_BF, SEL_KNN, 168, 704, 17, 10.674, 8.95978, 13.875, 1.37871, 0.090718
13, HARRIS, ORB, MAT_BF, SEL_KNN, 181, 640, 17, 10.674, 9.96439, 14.0693, 1.38648, 0.100694
14, HARRIS, ORB, MAT_BF, SEL_KNN, 144, 576, 16, 5.6061, 9.59863, 13.237, 1.34239, 0.094556
15, HARRIS, ORB, MAT_BF, SEL_KNN, 243, 896, 15, 5.6061, 8.52157, 16.1033, 1.4568, 0.086319
16, HARRIS, ORB, MAT_BF, SEL_KNN, 213, 992, 23, 11.3613, 9.51552, 15.1973, 1.44152, 0.123106
17, HARRIS, ORB, MAT_BF, SEL_KNN, 126, 512, 13, 12.5848, 9.61241, 13.5503, 1.3944, 0.129199
1, HARRIS, FREAK, MAT_BF, SEL_KNN, 209, 1472, 12, 12.5848, 12.5156, 15.1684, 41.1948, 0.081522
2, HARRIS, FREAK, MAT_BF, SEL_KNN, 114, 1088, 14, 10.195, 12.6142, 12.8809, 40.8966, 0.107676
3, HARRIS, FREAK, MAT_BF, SEL_KNN, 178, 1280, 10, -80.8525, 14.091, 13.8712, 41.0037, 0.085959
4, HARRIS, FREAK, MAT_BF, SEL_KNN, 250, 1792, 14, 10.9782, 16.6894, 15.8945, 41.0401, 0.096268
5, HARRIS, FREAK, MAT_BF, SEL_KNN, 241, 1728, 21, 35.3833, 15.7465, 15.5847, 41.2633, 0.113838
6, HARRIS, FREAK, MAT_BF, SEL_KNN, 259, 1856, 18, 13.5599, 12.7835, 16.3979, 41.3493, 0.112817
7, HARRIS, FREAK, MAT_BF, SEL_KNN, 272, 1984, 21, 12.3971, 11.9844, 16.7963, 43.5963, 0.133599
8, HARRIS, FREAK, MAT_BF, SEL_KNN, 193, 1408, 19, 13.5704, 13.1241, 14.019, 40.9472, 0.158217
9, HARRIS, FREAK, MAT_BF, SEL_KNN, 129, 1088, 12, nan, 13.0241, 12.8657, 41.0173, 0.09491
10, HARRIS, FREAK, MAT_BF, SEL_KNN, 248, 1856, 10, 13.5704, 11.1746, 16.8392, 42.3087, 0.113882
11, HARRIS, FREAK, MAT_BF, SEL_KNN, 147, 1216, 18, 11.7414, 12.8086, 13.6755, 41.2582, 0.106956
12, HARRIS, FREAK, MAT_BF, SEL_KNN, 168, 1408, 15, 10.674, 8.95978, 13.7698, 40.7452, 0.09694
13, HARRIS, FREAK, MAT_BF, SEL_KNN, 181, 1280, 16, 10.674, 9.96439, 13.831, 40.85, 0.0978
14, HARRIS, FREAK, MAT_BF, SEL_KNN, 144, 1152, 12, 12.288, 9.59863, 13.1026, 40.5585, 0.091251
15, HARRIS, FREAK, MAT_BF, SEL_KNN, 243, 1792, 13, 12.288, 8.52157, 17.3642, 42.6655, 0.093737
16, HARRIS, FREAK, MAT_BF, SEL_KNN, 213, 1984, 19, 9.67446, 9.51552, 15.3155, 41.6605, 0.116586
